rorg,rdes,Origin,Dest
7238,8184,William B Hartsfield-Atlanta In,Lehigh Valley International    
602,1403,Wilkes-Barre/Scranton Intl     ,Lehigh Valley International    
1140,1154,Baltimore-Washington Internatio,Lehigh Valley International    
932,1394,Cleveland-Hopkins Intl         ,Lehigh Valley International    
3024,2902,Charlotte/Douglas International,Lehigh Valley International    
2246,2729,Cincinnati Northern Kentucky In,Lehigh Valley International    
133,186,Ronald Reagan Washington Nation,Lehigh Valley International    
5526,8064,Detroit Metropolitan-Wayne Coun,Lehigh Valley International    
1,1,Newark Intl                    ,Lehigh Valley International    
444,592,Washington Dulles International,Lehigh Valley International    
1,1,Indianapolis International     ,Lehigh Valley International    
28,36,LaGuardia                      ,Lehigh Valley International    
449,614,Orlando International          ,Lehigh Valley International    
4310,5179,Harrisburg Intl                ,Lehigh Valley International    
1,0,General Mitchell International ,Lehigh Valley International    
10196,10789,Chicago O'Hare International   ,Lehigh Valley International    
257,205,Philadelphia Intl              ,Lehigh Valley International    
9488,10591,Pittsburgh International       ,Lehigh Valley International    
40,80,Raleigh-Durham International   ,Lehigh Valley International    
0,1,Alexandria International       ,Abilene Regional               
0,0,Easterwood                     ,Abilene Regional               
5467,6570,Dallas-Fort Worth International,Abilene Regional               
544,756,George Bush Intercontinental   ,Abilene Regional               
0,1,Indianapolis International     ,Abilene Regional               
1,0,McAllen Miller International   ,Abilene Regional               
0,1,Metropolitan Oakland Internatio,Abilene Regional               
1,1,Ontario International          ,Abilene Regional               
1,0,Salt Lake City Intl            ,Abilene Regional               
5037,5762,Amarillo International         ,Albuquerque International      
7057,6751,William B Hartsfield-Atlanta In,Albuquerque International      
259,309,Austin-Bergstrom International ,Albuquerque International      
1187,798,Baltimore-Washington Internatio,Albuquerque International      
8,10,Cleveland-Hopkins Intl         ,Albuquerque International      
597,604,City of Colorado Springs Muni  ,Albuquerque International      
3461,3523,Cincinnati Northern Kentucky In,Albuquerque International      
17716,18910,Dallas Love                    ,Albuquerque International      
26290,28404,Denver Intl                    ,Albuquerque International      
35495,36482,Dallas-Fort Worth International,Albuquerque International      
9328,12689,El Paso International          ,Albuquerque International      
259,356,Newark Intl                    ,Albuquerque International      
3,3,Four Corners Regional          ,Albuquerque International      
4527,4625,William P Hobby                ,Albuquerque International      
213,243,Washington Dulles International,Albuquerque International      
12453,13277,George Bush Intercontinental   ,Albuquerque International      
0,1,John F Kennedy Intl            ,Albuquerque International      
20589,23598,McCarran International         ,Albuquerque International      
20993,21150,Los Angeles International      ,Albuquerque International      
5036,6491,Lubbock International          ,Albuquerque International      
3746,4684,Midland International          ,Albuquerque International      
4578,4692,Kansas City International      ,Albuquerque International      
1827,1681,Orlando International          ,Albuquerque International      
1827,1340,Chicago Midway                 ,Albuquerque International      
0,0,Memphis International          ,Albuquerque International      
4814,5365,Minneapolis-St Paul Intl       ,Albuquerque International      
3180,2866,Metropolitan Oakland Internatio,Albuquerque International      
90,72,Will Rogers World              ,Albuquerque International      
249,274,Ontario International          ,Albuquerque International      
9124,8948,Chicago O'Hare International   ,Albuquerque International      
749,627,Portland Intl                  ,Albuquerque International      
48523,60087,Phoenix Sky Harbor Internationa,Albuquerque International      
4163,3533,Pittsburgh International       ,Albuquerque International      
