rorg,rdes,UniqueCarrier
368206,450882,AirTran Airways Corporation                     
913090,1398470,Alaska Airlines Inc.                            
25670,33609,Aloha Airlines Inc.                             
1297552,1875072,America West Airlines Inc. (Merged with US Airwa
5568676,6240468,American Airlines Inc.                          
1035269,1303649,American Eagle Airlines Inc.                    
56744,85122,ATA Airlines d/b/a ATA                          
560875,657780,Atlantic Southeast Airlines                     
367466,528235,Comair Inc.                                     
2833766,3555803,Continental Air Lines Inc.                      
7589495,8336525,Delta Air Lines Inc.                            
210665,425634,Eastern Air Lines Inc.                          
602298,860601,Expressjet Airlines Inc.                        
106921,114228,Frontier Airlines Inc.                          
34547,49635,Hawaiian Airlines Inc.                          
215594,261794,Independence Air                                
270795,278017,JetBlue Airways                                 
192717,250581,Mesa Airlines Inc.                              
16597,29531,Midway Airlines Inc. (1)                        
2949158,4220111,Northwest Airlines Inc.                         
46500,47913,Pacific Southwest Airlines                      
73237,149805,Pan American World Airways (1)                  
558231,584091,Piedmont Aviation Inc.                          
77765,106775,Pinnacle Airlines Inc.                          
839312,1023900,Skywest Airlines Inc.                           
5393863,5952554,Southwest Airlines Co.                          
1265673,1738764,Trans World Airways LLC                         
5571906,5870872,United Air Lines Inc.                           
6449620,6462758,US Airways Inc. (Merged with America West 9/05. 
