UniqueCarrier,rorg,rdes
9E,108758,144283
AA,5660640,6348603
AQ,27053,35517
AS,931511,1419182
B6,295195,306979
CO,2885846,3608468
DH,215594,261794
DL,7643436,8405803
EA,210665,425634
EV,600943,700511
F9,121585,130685
FL,401508,493953
HA,37433,54335
HP,1297552,1875072
ML (1),16597,29531
MQ,1103970,1381935
NW,2992681,4286483
OH,389455,564348
OO,905793,1109752
PA (1),73237,149805
PI,558231,584091
PS,46500,47913
TW,1265673,1738764
TZ,56744,85122
UA,5642185,5946671
US,6504932,6520763
WN,5617655,6133857
XE,656198,925346
YV,218184,287006
