Origin,Dest,rorg,rdes
ABE,ALB,0,0
ABE,ATL,234,476
ABE,AVP,0,0
ABE,AZO,0,0
ABE,BDL,0,0
ABE,BWI,0,0
ABE,CLE,21,56
ABE,CLT,8,66
ABE,CVG,114,319
ABE,DCA,0,0
ABE,DTW,23,92
ABE,FWA,0,0
ABE,GRR,0,0
ABE,HPN,0,0
ABE,IAD,9,24
ABE,IND,0,0
ABE,JFK,0,0
ABE,LGA,0,0
ABE,MCO,0,0
ABE,MDT,0,0
ABE,ORD,21,261
ABE,PHL,7,51
ABE,PIT,0,0
ABE,RDU,0,0
ABE,ROC,0,0
ABE,SBN,0,0
ABI,CLL,0,0
ABI,DFW,113,680
ABI,IAH,42,60
ABI,LAX,0,0
ABI,SJT,0,0
ABI,TYR,0,0
ABI,VCT,0,0
ABQ,AMA,19,256
ABQ,ATL,19,262
ABQ,AUS,0,17
ABQ,BNA,0,0
ABQ,BWI,3,70
ABQ,CLE,0,2
ABQ,COS,0,0
ABQ,CVG,7,143
ABQ,DAL,50,1075
ABQ,DEN,71,847
ABQ,DFW,157,647
ABQ,ELP,18,329
ABQ,EWR,3,32
ABQ,GJT,0,0
ABQ,HOU,16,323
ABQ,IAD,0,51
ABQ,IAH,44,338
ABQ,IDA,0,0
ABQ,LAS,55,822
ABQ,LAX,35,727
ABQ,LBB,9,181
ABQ,MAF,7,192
ABQ,MCI,7,351
ABQ,MCO,13,252
ABQ,MDW,26,145
ABQ,MKC,0,0
ABQ,MSP,24,209
ABQ,OAK,11,290
ABQ,OKC,2,32
ABQ,ONT,2,17
ABQ,ORD,62,270
ABQ,PDX,3,141
ABQ,PHX,137,1789
ABQ,PIH,0,0
ABQ,PIT,0,0
ABQ,PSP,0,0
ABQ,SAN,21,371
ABQ,SAT,0,22
ABQ,SEA,3,100
ABQ,SFO,3,209
ABQ,SLC,63,532
ABQ,SMF,0,28
ABQ,SNA,0,0
ABQ,STL,18,235
ABQ,TPA,6,148
ABQ,TUL,0,14
ABQ,TUS,11,269
ABQ,TWF,0,0
ABY,ATL,153,440
ABY,MCN,0,0
ABY,VLD,0,0
ACK,EWR,7,65
ACK,JFK,1,5
ACK,LGA,0,0
ACT,CLL,0,0
ACT,DFW,112,175
ACT,IAH,41,115
ACT,ILE,1,0
ACT,SJT,0,1
ACT,TYR,0,1
ACV,CEC,43,98
ACV,CIC,0,0
ACV,MFR,2,1
ACV,MRY,0,0
ACV,RDD,0,1
ACV,SFO,70,851
ACV,SMF,18,119
ACY,ATL,31,141
ACY,BOS,0,4
ACY,BWI,0,0
ACY,CVG,69,129
ACY,JFK,2,0
ACY,LGA,5,0
ACY,MCO,0,17
ACY,MYR,0,0
ACY,PIT,0,0
ADK,AKN,4,63
ADK,ANC,0,0
ADQ,ANC,14,324
AEX,ABI,0,0
AEX,ATL,191,448
AEX,AUS,0,0
AEX,BTR,0,0
AEX,DFW,119,120
AEX,GTR,1,4
AEX,HOU,0,0
AEX,IAH,49,140
