rorg,rdes,Origin,Dest
1,2,Lehigh Valley International,Albany Cty
4825,5784,Lehigh Valley International,William B Hartsfield-Atlanta Intl
345,565,Lehigh Valley International,Wilkes-Barre/Scranton Intl
0,1,Lehigh Valley International,Bradley International
798,1209,Lehigh Valley International,Baltimore-Washington International
200,731,Lehigh Valley International,Cleveland-Hopkins Intl
1873,2397,Lehigh Valley International,Charlotte/Douglas International
1160,1725,Lehigh Valley International,Cincinnati Northern Kentucky Intl
44,133,Lehigh Valley International,Ronald Reagan Washington National
2006,5686,Lehigh Valley International,Detroit Metropolitan-Wayne County
1,0,Lehigh Valley International,Fort Wayne International
1,0,Lehigh Valley International,Kent County International
51,66,Lehigh Valley International,Westchester Cty
354,483,Lehigh Valley International,Washington Dulles International
0,0,Lehigh Valley International,Indianapolis International
50,75,Lehigh Valley International,LaGuardia
397,464,Lehigh Valley International,Orlando International
4506,4579,Lehigh Valley International,Harrisburg Intl
7524,8190,Lehigh Valley International,Chicago O'Hare International
188,235,Lehigh Valley International,Philadelphia Intl
7249,9478,Lehigh Valley International,Pittsburgh International
21,80,Lehigh Valley International,Raleigh-Durham International
1,0,Lehigh Valley International,Greater Rochester Int'l
3,0,Abilene Regional,Easterwood 
1567,2932,Abilene Regional,Dallas-Fort Worth International
403,414,Abilene Regional,George Bush Intercontinental
0,0,Abilene Regional,San Angelo Regional /Mathis 
0,0,Abilene Regional,Tyler Pounds 
1,0,Abilene Regional,Victoria Regional
5608,6039,Albuquerque International,Amarillo International
3807,4435,Albuquerque International,William B Hartsfield-Atlanta Intl
53,42,Albuquerque International,Austin-Bergstrom International
36,16,Albuquerque International,Nashville International
473,409,Albuquerque International,Baltimore-Washington International
1,2,Albuquerque International,Cleveland-Hopkins Intl
423,604,Albuquerque International,City of Colorado Springs Muni
2656,3088,Albuquerque International,Cincinnati Northern Kentucky Intl
12938,15138,Albuquerque International,Dallas Love 
17360,24430,Albuquerque International,Denver Intl
19840,28146,Albuquerque International,Dallas-Fort Worth International
12265,14438,Albuquerque International,El Paso International
48,53,Albuquerque International,Newark Intl
2,0,Albuquerque International,Walker 
2788,3334,Albuquerque International,William P Hobby
5823,10836,Albuquerque International,George Bush Intercontinental
1,0,Albuquerque International,Idaho Falls Regional
13901,18835,Albuquerque International,McCarran International
15575,17961,Albuquerque International,Los Angeles International
3975,4878,Albuquerque International,Lubbock International
2432,3263,Albuquerque International,Midland International
4575,5112,Albuquerque International,Kansas City International
1029,1040,Albuquerque International,Orlando International
368,428,Albuquerque International,Chicago Midway
1,0,Albuquerque International,Downtown
1989,3494,Albuquerque International,Minneapolis-St Paul Intl
1510,1629,Albuquerque International,Metropolitan Oakland International
3,0,Albuquerque International,Will Rogers World
0,0,Albuquerque International,Ontario International
5326,7117,Albuquerque International,Chicago O'Hare International
367,347,Albuquerque International,Portland Intl
40389,57715,Albuquerque International,Phoenix Sky Harbor International
0,0,Albuquerque International,Pocatello Regional
3205,3265,Albuquerque International,Pittsburgh International
5085,5604,Albuquerque International,San Diego International-Lindbergh 
86,103,Albuquerque International,San Antonio International
550,586,Albuquerque International,Seattle-Tacoma Intl
4512,4758,Albuquerque International,San Francisco International
8055,11012,Albuquerque International,Salt Lake City Intl
1,0,Albuquerque International,John Wayne /Orange Co
8953,13515,Albuquerque International,Lambert-St Louis International
1137,923,Albuquerque International,Tampa International 
203,133,Albuquerque International,Tulsa International
3346,3814,Albuquerque International,Tucson International
1,0,Albuquerque International,Joslin Field - Magic Valley
1211,1658,Southwest Georgia Regional,William B Hartsfield-Atlanta Intl
0,0,Southwest Georgia Regional,Middle Georgia Regional
0,0,Southwest Georgia Regional,Valdosta Regional
298,433,Nantucket Memorial,Newark Intl
4,16,Nantucket Memorial,LaGuardia
0,0,Waco Regional,Easterwood 
1170,2684,Waco Regional,Dallas-Fort Worth International
468,548,Waco Regional,George Bush Intercontinental
1,1,Waco Regional,Killeen Municipal
1,1,Waco Regional,San Angelo Regional /Mathis 
1,1,Waco Regional,Tyler Pounds 
311,355,Arcata,Jack McNamara 
1,0,Arcata,Chico Municipal
4,4,Arcata,Rogue Valley International
2,0,Arcata,Monterey Peninsula
55,66,Arcata,Redding Municipal
3277,3626,Arcata,San Francisco International
319,358,Arcata,Sacramento International
22,20,Atlantic City International,Gen Edw L Logan Intl
405,664,Atlantic City International,Cincinnati Northern Kentucky Intl
2,2,Atlantic City International,John F Kennedy Intl
2,2,Atlantic City International,LaGuardia
1983,2682,Atlantic City International,Pittsburgh International
164,144,Adak,King Salmon
0,1,Adak,Ted Stevens Anchorage International
3000,4089,Kodiak ,Ted Stevens Anchorage International
0,1,Alexandria International,Abilene Regional
803,1055,Alexandria International,William B Hartsfield-Atlanta Intl
0,1,Alexandria International,Austin-Bergstrom International
0,0,Alexandria International,"Baton Rouge Metropolitan, Ryan "
380,543,Alexandria International,Dallas-Fort Worth International
84,92,Alexandria International,Golden Triangle Regional
0,0,Alexandria International,William P Hobby
651,1760,Alexandria International,George Bush Intercontinental
0,1,Alexandria International,Killeen Municipal
0,0,Alexandria International,Jackson International
0,0,Alexandria International,Lafayette Regional
1,0,Alexandria International,Monroe Regional
0,0,Alexandria International,New Orleans International 
1,1,Alexandria International,Shreveport Regional
11919,17041,Bush ,William B Hartsfield-Atlanta Intl
762,907,Bush ,Columbia Metropolitan
0,1,Bush ,Lovell 
0,0,Bush ,Charleston AFB/International
0,0,Bush ,Cleveland-Hopkins Intl
2207,2539,Bush ,Charlotte/Douglas International
0,0,Bush ,Cincinnati Northern Kentucky Intl
421,600,Bush ,Newark Intl
233,301,Bush ,George Bush Intercontinental
1,1,Bush ,John F Kennedy Intl
0,0,Bush ,LaGuardia
1223,1293,Bush ,Savannah International
135,125,King Salmon,Adak
1058,1614,King Salmon,Ted Stevens Anchorage International
601,918,King Salmon,Dillingham
7469,9688,Albany Cty,William B Hartsfield-Atlanta Intl
15,48,Albany Cty,Bradley International
109,86,Albany Cty,Bangor International
102,93,Albany Cty,Gen Edw L Logan Intl
296,308,Albany Cty,Burlington International
2265,2231,Albany Cty,Buffalo Niagara Intl
7787,9351,Albany Cty,Baltimore-Washington International
1606,2512,Albany Cty,Cleveland-Hopkins Intl
3057,3251,Albany Cty,Charlotte/Douglas International
3014,4376,Albany Cty,Cincinnati Northern Kentucky Intl
6788,6994,Albany Cty,Ronald Reagan Washington National
5213,9097,Albany Cty,Detroit Metropolitan-Wayne County
926,1580,Albany Cty,Newark Intl
1,0,Albany Cty,Kent County International
1105,1838,Albany Cty,Washington Dulles International
1043,1819,Albany Cty,Long Island - MacArthur
399,650,Albany Cty,John F Kennedy Intl
478,526,Albany Cty,McCarran International
491,602,Albany Cty,LaGuardia
1515,1984,Albany Cty,Orlando International
41,23,Albany Cty,Chicago Midway
111,155,Albany Cty,Manchester
16456,19742,Albany Cty,Chicago O'Hare International
12080,13046,Albany Cty,Philadelphia Intl
12203,12353,Albany Cty,Pittsburgh International
94,139,Albany Cty,Theodore F Green State
2334,3049,Albany Cty,Portland International Jetport
1369,2095,Albany Cty,Raleigh-Durham International
281,457,Albany Cty,Greater Rochester Int'l
11,29,Albany Cty,Stewart
103,131,Albany Cty,Syracuse-Hancock Intl
8,8,Albany Cty,Tampa International 
51,56,Waterloo Municipal,Minneapolis-St Paul Intl
45,105,Waterloo Municipal,Rochester International
46,122,Waterloo Municipal,Lambert-St Louis International
4574,5308,Amarillo International,Albuquerque International
1,1,Amarillo International,City of Colorado Springs Muni
12526,17267,Amarillo International,Dallas Love 
161,409,Amarillo International,Denver Intl
9199,15265,Amarillo International,Dallas-Fort Worth International
1215,2000,Amarillo International,George Bush Intercontinental
210,642,Amarillo International,McCarran International
715,1101,Amarillo International,Lubbock International
156,144,Amarillo International,Midland International
7,10,Amarillo International,Chicago O'Hare International
1,2,Amarillo International,Salt Lake City Intl
0,1,Ted Stevens Anchorage International,Adak
2602,3941,Ted Stevens Anchorage International,Kodiak 
1549,2472,Ted Stevens Anchorage International,King Salmon
61,162,Ted Stevens Anchorage International,Aniak
162,163,Ted Stevens Anchorage International,William B Hartsfield-Atlanta Intl
4560,8317,Ted Stevens Anchorage International,Bethel
0,0,Ted Stevens Anchorage International,Boeing Field/King County Intl
42,130,Ted Stevens Anchorage International,Wiley Post Will Rogers Memorial
2284,3787,Ted Stevens Anchorage International,Merle K (Mudhole) Smith
930,910,Ted Stevens Anchorage International,Denver Intl
160,162,Ted Stevens Anchorage International,Dallas-Fort Worth International
818,1448,Ted Stevens Anchorage International,Dillingham
366,661,Ted Stevens Anchorage International,Detroit Metropolitan-Wayne County
1800,2700,Ted Stevens Anchorage International,Unalaska
28,54,Ted Stevens Anchorage International,Newark Intl
21954,33969,Ted Stevens Anchorage International,Fairbanks International
38,48,Ted Stevens Anchorage International,Honolulu International
288,290,Ted Stevens Anchorage International,George Bush Intercontinental
6356,10037,Ted Stevens Anchorage International,Juneau International
139,116,Ted Stevens Anchorage International,McCarran International
1337,1485,Ted Stevens Anchorage International,Los Angeles International
2762,4056,Ted Stevens Anchorage International,Minneapolis-St Paul Intl
38,47,Ted Stevens Anchorage International,Kahului
2388,4903,Ted Stevens Anchorage International,Nome
2757,2880,Ted Stevens Anchorage International,Chicago O'Hare International
4184,6368,Ted Stevens Anchorage International,Ralph Wien Memorial
3087,4121,Ted Stevens Anchorage International,Portland Intl
401,415,Ted Stevens Anchorage International,Phoenix Sky Harbor International
1744,3986,Ted Stevens Anchorage International,Deadhorse
41183,63475,Ted Stevens Anchorage International,Seattle-Tacoma Intl
1210,1569,Ted Stevens Anchorage International,San Francisco International
1,1,Ted Stevens Anchorage International,Sitka
5719,7132,Ted Stevens Anchorage International,Salt Lake City Intl
238,241,Ted Stevens Anchorage International,Lambert-St Louis International
0,2,Ted Stevens Anchorage International,Yakutat
60,94,Aniak,Ted Stevens Anchorage International
62,104,Aniak,St. Mary's
350,464,Naples Municipal,William B Hartsfield-Atlanta Intl
46,118,Naples Municipal,Miami International
375,487,Naples Municipal,Tampa International 
6026,6880,William B Hartsfield-Atlanta Intl,Lehigh Valley International
5910,5502,William B Hartsfield-Atlanta Intl,Albuquerque International
1392,1683,William B Hartsfield-Atlanta Intl,Southwest Georgia Regional
886,1023,William B Hartsfield-Atlanta Intl,Alexandria International
17873,21505,William B Hartsfield-Atlanta Intl,Bush 
10419,11569,William B Hartsfield-Atlanta Intl,Albany Cty
431,315,William B Hartsfield-Atlanta Intl,Ted Stevens Anchorage International
410,480,William B Hartsfield-Atlanta Intl,Naples Municipal
777,969,William B Hartsfield-Atlanta Intl,Outagamie County Regional
14070,14885,William B Hartsfield-Atlanta Intl,Austin-Bergstrom International
6109,6933,William B Hartsfield-Atlanta Intl,Asheville Regional
2908,3247,William B Hartsfield-Atlanta Intl,Wilkes-Barre/Scranton Intl
42,33,William B Hartsfield-Atlanta Intl,Kalamazoo County
19865,20781,William B Hartsfield-Atlanta Intl,Bradley International
31188,35735,William B Hartsfield-Atlanta Intl,Birmingham International
1264,1652,William B Hartsfield-Atlanta Intl,Central Illinois Regional
30732,33444,William B Hartsfield-Atlanta Intl,Nashville International
119,147,William B Hartsfield-Atlanta Intl,Boise Air Terminal
47796,45119,William B Hartsfield-Atlanta Intl,Gen Edw L Logan Intl
81,99,William B Hartsfield-Atlanta Intl,Southeast Texas Regional
1561,1847,William B Hartsfield-Atlanta Intl,Glynco Jetport
11394,12456,William B Hartsfield-Atlanta Intl,"Baton Rouge Metropolitan, Ryan "
29,29,William B Hartsfield-Atlanta Intl,Burlington International
14141,16090,William B Hartsfield-Atlanta Intl,Buffalo Niagara Intl
187,261,William B Hartsfield-Atlanta Intl,Burbank-Glendale-Pasadena
39915,39503,William B Hartsfield-Atlanta Intl,Baltimore-Washington International
1,0,William B Hartsfield-Atlanta Intl,Gallatin 
28135,31085,William B Hartsfield-Atlanta Intl,Columbia Metropolitan
4227,5356,William B Hartsfield-Atlanta Intl,Akron-Canton Regional
0,0,William B Hartsfield-Atlanta Intl,
12639,15656,William B Hartsfield-Atlanta Intl,Lovell 
909,1202,William B Hartsfield-Atlanta Intl,Charlottesville-Albermarle
32215,34271,William B Hartsfield-Atlanta Intl,Charleston AFB/International
22100,28063,William B Hartsfield-Atlanta Intl,Cleveland-Hopkins Intl
44319,47183,William B Hartsfield-Atlanta Intl,Charlotte/Douglas International
22138,24465,William B Hartsfield-Atlanta Intl,Port Columbus Intl
2683,2716,William B Hartsfield-Atlanta Intl,City of Colorado Springs Muni
868,1148,William B Hartsfield-Atlanta Intl,Corpus Christi International
2029,2443,William B Hartsfield-Atlanta Intl,Yeager
6118,8112,William B Hartsfield-Atlanta Intl,Columbus Metropolitan
32329,32360,William B Hartsfield-Atlanta Intl,Cincinnati Northern Kentucky Intl
21249,22457,William B Hartsfield-Atlanta Intl,Daytona Beach International
199,266,William B Hartsfield-Atlanta Intl,Dallas Love 
17531,19588,William B Hartsfield-Atlanta Intl,James M Cox Dayton Intl
49944,50970,William B Hartsfield-Atlanta Intl,Ronald Reagan Washington National
35535,35665,William B Hartsfield-Atlanta Intl,Denver Intl
83355,85347,William B Hartsfield-Atlanta Intl,Dallas-Fort Worth International
2377,2874,William B Hartsfield-Atlanta Intl,Dothan 
1104,1253,William B Hartsfield-Atlanta Intl,Des Moines International
40455,47080,William B Hartsfield-Atlanta Intl,Detroit Metropolitan-Wayne County
681,556,William B Hartsfield-Atlanta Intl,Eagle County Regional
1976,2085,William B Hartsfield-Atlanta Intl,El Paso International
1630,2168,William B Hartsfield-Atlanta Intl,Evansville Regional
59387,63621,William B Hartsfield-Atlanta Intl,Newark Intl
1151,1255,William B Hartsfield-Atlanta Intl,Key West International
2305,2595,William B Hartsfield-Atlanta Intl,Fayetteville Municipal
46888,46240,William B Hartsfield-Atlanta Intl,Fort Lauderdale-Hollywood Int'l
940,1231,William B Hartsfield-Atlanta Intl,Florence Regional
2837,3840,William B Hartsfield-Atlanta Intl,Bishop
4014,4373,William B Hartsfield-Atlanta Intl,Fort Wayne International
9848,10978,William B Hartsfield-Atlanta Intl,Gainesville Regional
3807,4488,William B Hartsfield-Atlanta Intl,Gulfport-Biloxi Regional
20,20,William B Hartsfield-Atlanta Intl,Austin Straubel International
2043,2237,William B Hartsfield-Atlanta Intl,Kent County International
28343,31632,William B Hartsfield-Atlanta Intl,Piedmont Triad International
22753,26131,William B Hartsfield-Atlanta Intl,Greenville-Spartanburg
