UniqueCarrier,rorg,rdes
Pinnacle Airlines Inc.,108758,144283
American Airlines Inc.,5660640,6348603
Aloha Airlines Inc.,27053,35517
Alaska Airlines Inc.,931511,1419182
JetBlue Airways,295195,306979
Continental Air Lines Inc.,2885846,3608468
Independence Air,215594,261794
Delta Air Lines Inc.,7643436,8405803
Eastern Air Lines Inc.,210665,425634
Atlantic Southeast Airlines,600943,700511
Frontier Airlines Inc.,121585,130685
AirTran Airways Corporation,401508,493953
Hawaiian Airlines Inc.,37433,54335
America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),1297552,1875072
Midway Airlines Inc. (1),16597,29531
American Eagle Airlines Inc.,1103970,1381935
Northwest Airlines Inc.,2992681,4286483
Comair Inc.,389455,564348
Skywest Airlines Inc.,905793,1109752
Pan American World Airways (1),73237,149805
Piedmont Aviation Inc.,558231,584091
Pacific Southwest Airlines,46500,47913
Trans World Airways LLC,1265673,1738764
ATA Airlines d/b/a ATA,56744,85122
United Air Lines Inc.,5642185,5946671
US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),6504932,6520763
Southwest Airlines Co.,5617655,6133857
Expressjet Airlines Inc.,656198,925346
Mesa Airlines Inc.,218184,287006
