Origin,Dest,rorg,rdes
ABE,ALB,0,0
ABE,ATL,242,510
ABE,AVP,0,0
ABE,AZO,0,0
ABE,BDL,0,0
ABE,BHM,0,0
ABE,BWI,0,0
ABE,CLE,21,60
ABE,CLT,9,68
ABE,CVG,114,322
ABE,DCA,0,0
ABE,DTW,26,105
ABE,FWA,0,0
ABE,GRR,0,0
ABE,HPN,0,0
ABE,IAD,9,24
ABE,IND,0,0
ABE,JFK,0,0
ABE,LGA,0,0
ABE,MCO,0,0
ABE,MDT,0,0
ABE,ORD,22,290
ABE,PHL,7,51
ABE,PIT,0,0
ABE,RDU,0,0
ABE,ROC,0,0
ABE,SBN,0,0
ABI,CLL,0,0
ABI,DFW,128,738
ABI,IAH,42,60
ABI,LAX,0,0
ABI,SJT,0,0
ABI,TYR,0,0
ABI,VCT,0,0
ABQ,AMA,19,274
ABQ,ATL,20,280
ABQ,AUS,0,27
ABQ,BNA,0,0
ABQ,BWI,3,73
ABQ,CLE,0,2
ABQ,COS,0,0
ABQ,CVG,8,146
ABQ,DAL,58,1175
ABQ,DEN,73,903
ABQ,DFW,159,710
ABQ,ELP,18,361
ABQ,EWR,3,38
ABQ,GJT,0,0
ABQ,HOU,20,358
ABQ,IAD,1,58
ABQ,IAH,47,384
ABQ,IDA,0,0
ABQ,LAS,56,907
ABQ,LAX,37,806
ABQ,LBB,10,195
ABQ,MAF,7,207
ABQ,MCI,8,375
ABQ,MCO,13,272
ABQ,MDW,28,152
ABQ,MKC,0,0
ABQ,MSP,25,221
ABQ,OAK,11,338
ABQ,OKC,3,47
ABQ,ONT,2,33
ABQ,ORD,62,288
ABQ,PDX,3,175
ABQ,PHX,140,1967
ABQ,PIH,0,0
ABQ,PIT,0,0
ABQ,PSP,0,0
ABQ,SAN,22,409
ABQ,SAT,0,35
ABQ,SEA,3,135
ABQ,SFO,3,213
ABQ,SLC,66,572
ABQ,SMF,0,46
ABQ,SNA,0,0
ABQ,STL,18,238
ABQ,TPA,6,163
ABQ,TUL,0,21
ABQ,TUS,11,298
ABQ,TWF,0,0
ABY,ATL,162,489
ABY,MCN,0,0
ABY,VLD,0,0
ACK,EWR,7,65
ACK,JFK,1,5
ACK,LGA,0,0
ACT,CLL,0,0
ACT,DFW,118,198
ACT,IAH,41,115
ACT,ILE,1,0
ACT,SJT,0,1
ACT,TYR,0,1
ACV,CEC,46,98
ACV,CIC,0,0
ACV,MFR,2,1
ACV,MRY,0,0
ACV,RDD,0,1
ACV,SFO,73,885
ACV,SJC,0,0
ACV,SMF,18,126
ACY,ATL,31,147
ACY,BOS,0,4
ACY,BWI,0,0
ACY,CVG,69,129
ACY,JFK,2,0
ACY,LGA,5,0
ACY,MCO,0,17
ACY,MYR,0,0
ACY,PIT,0,0
ADK,AKN,4,63
ADK,ANC,0,0
ADQ,ANC,16,335
AEX,ABI,0,0
AEX,ATL,204,504
AEX,AUS,0,0
AEX,BTR,0,0
AEX,DFW,131,135
AEX,GTR,1,4
AEX,HOU,0,0
AEX,IAH,50,145
AEX,ILE,0,0
AEX,JAN,0,0
AEX,LFT,0,0
AEX,MLU,0,0
AEX,MSY,0,0
AEX,SHV,0,0
AGS,ATL,355,1036
AGS,CAE,0,0
AGS,CHA,0,0
AGS,CHS,0,0
AGS,CLE,0,0
AGS,CLT,0,5
AGS,CVG,0,0
AGS,EWR,42,29
AGS,IAH,10,31
AGS,JFK,0,0
AGS,LGA,0,1
AGS,SAV,0,0
AKN,ADK,13,71
AKN,ANC,0,75
AKN,DLG,5,7
ALB,ATL,158,615
ALB,BDL,1,0
ALB,BGR,0,0
ALB,BOS,0,0
ALB,BTV,0,0
ALB,BUF,0,0
ALB,BWI,131,985
ALB,CLE,30,246
ALB,CLT,55,409
ALB,CVG,82,317
ALB,DCA,29,211
ALB,DTW,58,411
ALB,EWR,29,146
ALB,GRR,0,0
ALB,IAD,13,102
ALB,ISP,0,0
ALB,JFK,16,18
ALB,LAS,9,83
ALB,LGA,1,1
ALB,MCO,32,228
ALB,MDW,41,105
ALB,MHT,0,0
ALB,MKE,0,0
ALB,MSP,9,25
ALB,ORD,99,792
ALB,PHL,46,237
ALB,PIT,16,40
ALB,PVD,0,0
ALB,PWM,0,0
ALB,RDU,0,0
ALB,ROC,0,0
ALB,SBN,0,0
ALB,SWF,0,0
ALB,SYR,0,0
ALB,TPA,5,38
ALO,MSP,4,27
ALO,RST,0,0
ALO,STL,0,0
AMA,ABQ,17,144
AMA,COS,0,0
AMA,DAL,105,553
AMA,DEN,6,37
AMA,DFW,384,528
AMA,IAH,67,234
AMA,LAS,12,55
AMA,LBB,0,0
AMA,MAF,0,0
AMA,ORD,0,0
AMA,PHX,0,0
AMA,SLC,0,0
ANC,ADK,1,10
ANC,ADQ,77,341
ANC,AKN,16,161
ANC,ANI,0,0
ANC,ATL,0,62
ANC,BET,96,683
ANC,BFI,0,0
ANC,BRW,0,0
ANC,CDV,9,357
ANC,CVG,0,16
ANC,DEN,5,282
ANC,DFW,0,86
ANC,DLG,6,120
ANC,DTW,2,35
ANC,DUT,24,56
ANC,EWR,0,2
ANC,FAI,45,2028
ANC,HNL,1,11
ANC,IAH,6,137
ANC,JNU,55,965
ANC,KOA,0,3
ANC,LAS,3,158
ANC,LAX,0,125
ANC,MSP,10,399
ANC,OGG,6,42
ANC,OME,29,192
ANC,ORD,8,463
ANC,OTZ,43,653
ANC,PDX,8,362
ANC,PHX,6,165
ANC,SCC,16,207
ANC,SEA,99,3652
ANC,SFO,0,79
ANC,SIT,0,0
ANC,SLC,5,237
ANC,STL,0,11
ANC,YAK,0,0
ANI,ANC,0,0
ANI,KSM,0,0
APF,ATL,79,220
APF,MIA,0,0
APF,TPA,0,0
ASE,ATL,0,0
ASE,DEN,248,538
ASE,GJT,0,0
ASE,LAX,30,74
ASE,MSN,0,0
