rorg,rdes,Origin,Dest
1,2,Lehigh Valley International,Albany Cty
5927,6857,Lehigh Valley International,William B Hartsfield-Atlanta Intl
346,567,Lehigh Valley International,Wilkes-Barre/Scranton Intl
1,0,Lehigh Valley International,Kalamazoo County
0,1,Lehigh Valley International,Bradley International
799,1210,Lehigh Valley International,Baltimore-Washington International
413,1247,Lehigh Valley International,Cleveland-Hopkins Intl
1946,2555,Lehigh Valley International,Charlotte/Douglas International
1458,2357,Lehigh Valley International,Cincinnati Northern Kentucky Intl
44,133,Lehigh Valley International,Ronald Reagan Washington National
2302,6141,Lehigh Valley International,Detroit Metropolitan-Wayne County
2,0,Lehigh Valley International,Fort Wayne International
1,0,Lehigh Valley International,Kent County International
51,66,Lehigh Valley International,Westchester Cty
354,483,Lehigh Valley International,Washington Dulles International
0,0,Lehigh Valley International,Indianapolis International
7,7,Lehigh Valley International,John F Kennedy Intl
54,80,Lehigh Valley International,LaGuardia
397,464,Lehigh Valley International,Orlando International
4506,4579,Lehigh Valley International,Harrisburg Intl
8526,9292,Lehigh Valley International,Chicago O'Hare International
188,235,Lehigh Valley International,Philadelphia Intl
7249,9478,Lehigh Valley International,Pittsburgh International
21,80,Lehigh Valley International,Raleigh-Durham International
1,0,Lehigh Valley International,Greater Rochester Int'l
1,0,Lehigh Valley International,South Bend Regional
3,0,Abilene Regional,Easterwood 
2796,4779,Abilene Regional,Dallas-Fort Worth International
403,414,Abilene Regional,George Bush Intercontinental
0,1,Abilene Regional,Los Angeles International
0,0,Abilene Regional,San Angelo Regional /Mathis 
0,0,Abilene Regional,Tyler Pounds 
1,0,Abilene Regional,Victoria Regional
6305,6690,Albuquerque International,Amarillo International
4501,5388,Albuquerque International,William B Hartsfield-Atlanta Intl
139,100,Albuquerque International,Austin-Bergstrom International
36,16,Albuquerque International,Nashville International
743,574,Albuquerque International,Baltimore-Washington International
7,16,Albuquerque International,Cleveland-Hopkins Intl
423,604,Albuquerque International,City of Colorado Springs Muni
2924,3457,Albuquerque International,Cincinnati Northern Kentucky Intl
15493,17209,Albuquerque International,Dallas Love 
19362,26849,Albuquerque International,Denver Intl
21126,30211,Albuquerque International,Dallas-Fort Worth International
13146,15225,Albuquerque International,El Paso International
183,171,Albuquerque International,Newark Intl
4,0,Albuquerque International,Walker 
3733,4103,Albuquerque International,William P Hobby
145,242,Albuquerque International,Washington Dulles International
6888,12686,Albuquerque International,George Bush Intercontinental
1,0,Albuquerque International,Idaho Falls Regional
16153,20782,Albuquerque International,McCarran International
17694,19750,Albuquerque International,Los Angeles International
4429,5273,Albuquerque International,Lubbock International
2913,3669,Albuquerque International,Midland International
5325,5671,Albuquerque International,Kansas City International
1720,1622,Albuquerque International,Orlando International
1110,882,Albuquerque International,Chicago Midway
1,0,Albuquerque International,Downtown
2336,4044,Albuquerque International,Minneapolis-St Paul Intl
2440,2311,Albuquerque International,Metropolitan Oakland International
155,127,Albuquerque International,Will Rogers World
134,109,Albuquerque International,Ontario International
5823,7793,Albuquerque International,Chicago O'Hare International
720,649,Albuquerque International,Portland Intl
45101,62324,Albuquerque International,Phoenix Sky Harbor International
0,0,Albuquerque International,Pocatello Regional
3205,3265,Albuquerque International,Pittsburgh International
0,0,Albuquerque International,Palm Springs International
6069,6263,Albuquerque International,San Diego International-Lindbergh 
172,166,Albuquerque International,San Antonio International
885,828,Albuquerque International,Seattle-Tacoma Intl
5214,5448,Albuquerque International,San Francisco International
9688,12846,Albuquerque International,Salt Lake City Intl
111,155,Albuquerque International,Sacramento International
1,0,Albuquerque International,John Wayne /Orange Co
9498,13903,Albuquerque International,Lambert-St Louis International
1495,1221,Albuquerque International,Tampa International 
322,220,Albuquerque International,Tulsa International
3980,4334,Albuquerque International,Tucson International
1,0,Albuquerque International,Joslin Field - Magic Valley
2202,3035,Southwest Georgia Regional,William B Hartsfield-Atlanta Intl
0,0,Southwest Georgia Regional,Middle Georgia Regional
0,0,Southwest Georgia Regional,Valdosta Regional
490,673,Nantucket Memorial,Newark Intl
95,69,Nantucket Memorial,John F Kennedy Intl
4,16,Nantucket Memorial,LaGuardia
0,0,Waco Regional,Easterwood 
2084,4165,Waco Regional,Dallas-Fort Worth International
468,548,Waco Regional,George Bush Intercontinental
1,1,Waco Regional,Killeen Municipal
1,1,Waco Regional,San Angelo Regional /Mathis 
