UniqueCarrier,rorg,rdes
Pinnacle Airlines Inc.,77765,106775
American Airlines Inc.,5568676,6240468
Aloha Airlines Inc.,25670,33609
Alaska Airlines Inc.,913090,1398470
JetBlue Airways,270795,278017
Continental Air Lines Inc.,2833766,3555803
Independence Air,215594,261794
Delta Air Lines Inc.,7589495,8336525
Eastern Air Lines Inc.,210665,425634
Atlantic Southeast Airlines,560875,657780
Frontier Airlines Inc.,106921,114228
AirTran Airways Corporation,368206,450882
Hawaiian Airlines Inc.,34547,49635
America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),1297552,1875072
Midway Airlines Inc. (1),16597,29531
American Eagle Airlines Inc.,1035269,1303649
Northwest Airlines Inc.,2949158,4220111
Comair Inc.,367466,528235
Skywest Airlines Inc.,839312,1023900
Pan American World Airways (1),73237,149805
Piedmont Aviation Inc.,558231,584091
Pacific Southwest Airlines,46500,47913
Trans World Airways LLC,1265673,1738764
ATA Airlines d/b/a ATA,56744,85122
United Air Lines Inc.,5571906,5870872
US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),6449620,6462758
Southwest Airlines Co.,5393863,5952554
Expressjet Airlines Inc.,602298,860601
Mesa Airlines Inc.,192717,250581
